,Address Building,Address Street Name,Address City,Address State,Address ZIP,Address Borough,Latitude,Longitude
0,740,GERARD AVE,BRONX,NY,10451,Bronx,40.82454587497495,-73.9266628282542
1,268,WHITE PLAINS RD,BRONX,NY,10473,Bronx,40.81094464094616,-73.85566755931745
2,73,FEATHERBED LN,BRONX,NY,10452,Bronx,40.84635460806038,-73.91743293791271
3,330,E GUN HILL RD,BRONX,NY,10467,Bronx,40.87882555133326,-73.87329360964058
4,456,E 149TH ST,BRONX,NY,10455,Bronx,40.815324504874766,-73.91589990977934
5,719A,LYDIG AVE,BRONX,NY,10462,Bronx,40.85448928073022,-73.86684773138523
6,305,E 166TH ST,BRONX,NY,10456,Bronx,40.83017793850434,-73.91456581793403
7,250,E GUN HILL RD,BRONX,NY,10467,Bronx,40.87991822710596,-73.87608686147225
8,824,ALLERTON AVE,BRONX,NY,10467,Bronx,40.86553104563283,-73.86202794275785
9,1071,ELDER AVE,BRONX,NY,10472,Bronx,40.82525989029229,-73.8784107921435
10,1128,E GUN HILL RD,BRONX,NY,10469,Bronx,40.8734976155627,-73.85428068870672
11,6655,BROADWAY,BRONX,NY,10471,Bronx,40.91002566220964,-73.89661268706902
12,1669,METROPOLITAN AVE,BRONX,NY,10462,Bronx,40.840485733130556,-73.85541192209944
13,237,E 203RD ST,BRONX,NY,10458,Bronx,40.873669890657986,-73.88534068185191
14,2304,SEDGWICK AVE,BRONX,NY,10468,Bronx,40.86212224936796,-73.90922121571127
15,4220,BRONX BLVD,BRONX,NY,10466,Bronx,40.895213472053136,-73.86084142944249
16,2034,EASTCHESTER RD,BRONX,NY,10461,Bronx,40.85415806858476,-73.84351114423205
17,921,E 180TH ST,BRONX,NY,10460,Bronx,40.8444980324205,-73.88147307436307
18,2897,SEDGWICK AVE,BRONX,NY,10468,Bronx,40.874993806522646,-73.90123409829017
19,5800,MOSHOLU AVE,BRONX,NY,10471,Bronx,40.905289053109875,-73.89740145583578
20,3438,E TREMONT AVE,BRONX,NY,10465,Bronx,40.83246340365935,-73.82777779785181
21,2136,BARTOW AVE,BRONX,NY,10475,Bronx,40.869348413260475,-73.82519832096376
22,610,CASTLE HILL AVE,BRONX,NY,10473,Bronx,40.819259632602765,-73.84807323139738
23,1211,JEROME AVE,BRONX,NY,10452,Bronx,40.83603253046173,-73.92250510650176
24,5995,RIVERDALE AVE,BRONX,NY,10471,Bronx,40.908203874844446,-73.90374611199744
25,740,E 149TH ST,BRONX,NY,10455,Bronx,40.81308183278152,-73.90838857411939
26,928,MORRIS AVE,BRONX,NY,10451,Bronx,40.82708686089327,-73.91761222051879
27,75,E MOUNT EDEN AVE,BRONX,NY,10452,Bronx,40.843812817095056,-73.91342788919597
28,2487,CRESTON AVE,BRONX,NY,10468,Bronx,40.86260710520571,-73.89820843476994
29,25,E 176TH ST,BRONX,NY,10453,Bronx,40.848496123508994,-73.91092055654339
30,2026,LAFONTAINE AVE,BRONX,NY,10457,Bronx,40.84811343418139,-73.89335828867883
31,5223,BROADWAY,BRONX,NY,10463,Bronx,40.87507992803471,-73.90917821318018
32,1500,WILLIAMSBRIDGE RD,BRONX,NY,10461,Bronx,40.84457181842375,-73.84630947437739
33,1645,GRAND AVE,BRONX,NY,10453,Bronx,40.84698421912153,-73.91512976923352
34,2491,ARTHUR AVE,BRONX,NY,10458,Bronx,40.857825047594,-73.8856463541947
35,3200,BAINBRIDGE AVE,BRONX,NY,10467,Bronx,40.87590094196857,-73.87957293672517
36,1286,SOUTHERN BLVD,BRONX,NY,10459,Bronx,40.83074608314149,-73.89168053308425
